hole_diameter(um),pitch(um),elips_semi_major_a,elips_semi_minor_b,wevelength(um),real_effective_mode_index_x,real_effective_mode_index_y,birefringence,conf_x,conf_y,,0.75,1.1,0.25,0.15,1.5,1.3244,1.3292,0.0048,5.4281,3.6165
0.75,1.1,0.25,0.15,1.5,1.3244,1.3292,0.0048,5.4281,3.6165,,0.67,1,0.2,0.1,0.9,1.3873,1.3915,0.0042,0.009798,0.0043057
0.67,1,0.2,0.1,0.9,1.3873,1.3915,0.0042,0.009798,0.0043057,,0.69,1,0.2,0.1,1.2,1.3493,1.3546,0.0053,2.2987,0.69572
0.69,1,0.2,0.1,1.2,1.3493,1.3546,0.0053,2.2987,0.69572,,0.7,1.25,0.2,0.1,0.9,1.4261,1.428,0.0019,0.1215,0.042249
0.7,1.25,0.2,0.1,0.9,1.4261,1.428,0.0019,0.1215,0.042249,,0.71,1.1,0.2,0.1,1.4,1.3566,1.3607,0.0041,1.009,0.68356
0.71,1.1,0.2,0.1,1.4,1.3566,1.3607,0.0041,1.009,0.68356,,0.77,1,0.2,0.1,0.8,1.3837,1.3886,0.0049,4.59E-05,9.63E-06
0.77,1,0.2,0.1,0.8,1.3837,1.3886,0.0049,4.59E-05,9.63E-06,,0.74,1.25,0.2,0.1,0.6,1.4456,1.4465,0.0009,3.62E-04,3.84E-04
0.74,1.25,0.2,0.1,0.6,1.4456,1.4465,0.0009,3.62E-04,3.84E-04,,0.79,1.25,0.2,0.1,0.7,1.4355,1.437,0.0015,2.06E-04,0.0026074
0.79,1.25,0.2,0.1,0.7,1.4355,1.437,0.0015,2.06E-04,0.0026074,,0.81,1.25,0.2,0.1,0.7,1.4344,1.4359,0.0015,1.31E-04,2.64E-05
0.81,1.25,0.2,0.1,0.7,1.4344,1.4359,0.0015,1.31E-04,2.64E-05,,0.72,1.1,0.2,0.1,1.6,1.3378,1.3417,0.0039,8.6092,28.678
0.72,1.1,0.2,0.1,1.6,1.3378,1.3417,0.0039,8.6092,28.678,,0.78,1.25,0.2,0.1,1.4,1.38,1.3833,0.0033,0.60132,0.5448
0.78,1.25,0.2,0.1,1.4,1.38,1.3833,0.0033,0.60132,0.5448,,0.65,1.1,0.25,0.15,0.7,1.4216,1.4232,0.0016,0.94512,0.10023
0.65,1.1,0.25,0.15,0.7,1.4216,1.4232,0.0016,0.94512,0.10023,,0.79,1.1,0.2,0.1,1.5,1.3286,1.3335,0.0049,0.42747,0.28504
0.79,1.1,0.2,0.1,1.5,1.3286,1.3335,0.0049,0.42747,0.28504,,0.83,1.1,0.25,0.15,1.1,1.3466,1.3523,0.0057,0.054729,0.011334
0.83,1.1,0.25,0.15,1.1,1.3466,1.3523,0.0057,0.054729,0.011334,,0.82,1.25,0.2,0.1,1.6,1.3579,1.3615,0.0036,1.2286,4.4253
0.82,1.25,0.2,0.1,1.6,1.3579,1.3615,0.0036,1.2286,4.4253,,0.89,1,0.2,0.1,0.6,1.3958,1.4004,0.0046,7.32E-07,1.30E-06
0.89,1,0.2,0.1,0.6,1.3958,1.4004,0.0046,7.32E-07,1.30E-06,,,,,,,,,,,
